,Place,Player,PDGA Number,Player Rating,Score
0,1,Simon Lizotte,8332,1037,-23
1,2,Anthony Barela,44382,1042,-22
2,3,Calvin Heimburg,45971,1042,-21
3,3,Gannon Buhr,75412,1041,-21
4,3,Chris Dickerson,62467,1042,-21
5,6,James Proctor,34250,1021,-20
6,7,Austin Turner,54049,1017,-19
7,8,Richard Wysocki,38008,1047,-18
8,9,Joel Freeman,69509,1036,-17
9,9,Isaac Robinson,50670,1032,-17
10,11,Cole Redalen,79748,1029,-16
11,11,Jakub Semerád,91925,1014,-16
12,11,Evan Smith,101574,1025,-16
13,11,Adam Hammes,57365,1031,-16
14,11,Ezra Aderhold,121715,1029,-16
15,16,Luke Taylor,102119,1019,-15
16,17,Aaron Gossage,35449,1029,-14
17,18,Andrew Presnell,63765,1024,-13
18,18,Luke Humphries,69424,1018,-13
19,18,Eagle McMahon,37817,1043,-13
20,18,Väinö Mäkelä,59635,1027,-13
21,18,Eric Oakley,53565,1014,-13
22,23,Corey Ellis,44512,1032,-12
23,23,Robert Burridge,96512,1013,-12
24,25,Tuomas Hyytiäinen,65715,1006,-11
25,25,Bradley Williams,31644,1028,-11
26,25,Aidan Scott,99246,1018,-11
27,25,Paul McBeth,27523,1048,-11
28,25,Alden Harris,98091,1030,-11
29,30,Matthew Orum,18330,1040,-10
30,30,Trevor Harbolt,26860,997,-10
31,30,Chris Clemons,50401,1031,-10
32,30,Tyler Horne,16058,1005,-10
33,34,Jeremy Koling,33705,1018,-9
34,34,Mason Ford,72844,1028,-9
35,34,Garrett Gurthie,13864,1030,-9
36,34,Jake Wolff,144536,1002,-9
37,34,Nikko Locastro,11534,1033,-9
38,34,Kyle Klein,85132,1040,-9
39,40,Colten Montgomery,35876,1020,-8
40,40,Zach Arlinghaus,65266,1011,-8
41,40,Austin Hannum,68835,1016,-8
42,40,Harper Thompson,60259,1007,-8
43,44,John Willis II,23844,1000,-7
44,44,Albert Tamm,76669,1022,-7
45,46,G.T. Hancock,49885,1009,-6
46,46,Evan Scott,89394,1015,-6
47,46,Scott Withers,38464,1030,-6
48,46,Sam Lee,78519,1006,-6
49,46,Andrew Marwede,75590,1033,-6
50,46,Tony Moe Reiss,47136,1005,-6
51,46,Hjalte Jensen,129061,1006,-6
52,53,Joona Heinänen,58926,1025,-5
53,54,Thomas Gilbert,85850,1015,-4
54,54,Mason Marchbanks,79753,1002,-4
55,56,E. Lucas Pierce,123319,1004,-3
56,56,Jake Hebenheimer,43762,1019,-3
57,56,Chandler Kramer,139228,1021,-3
58,59,Tristan Tanner,99053,1009,-2
59,59,Zackeriath Johnson,50312,1008,-2
60,59,Ezra Robinson,50671,1020,-2
61,62,Gregg Barsby,15857,1028,-1
62,62,Kevin Jones,41760,1033,-1
63,62,Dylan Seppala,124138,1014,-1
64,62,Reid Frescura,48338,1001,-1
65,62,Raven Newsom,88212,1013,-1
66,62,Andrew Fish,58320,1015,-1
67,62,Jake Monn,98722,1011,-1
68,62,Max Regitnig,27812,1000,-1
69,62,Clay Edwards,91397,1009,-1
70,62,Randon Latta,51685,1009,-1
71,72,Nicholas Gill,33838,1007,E
72,72,Gavin Rathbun,60436,1024,E
73,72,Brodie Smith,128378,1024,E
74,72,Levi Hancock,103050,1004,E
75,72,Nick Hanson,40274,997,E
76,72,Elijah Bickel,94844,1012,E
77,78,Tim Barham,53332,1015,+1
78,78,Trevon Crowe,67172,1001,+1
79,78,Connor O'Reilly,99648,1015,+1
80,81,Logan Bowers,31536,1004,+2
81,81,Jared Stoll,68103,994,+2
82,81,Fredy Meza,100497,1009,+2
83,81,James Conrad,17295,1036,+2
84,81,Noah Fiveash,99153,992,+2
85,81,Jacob Chesser,96063,1004,+2
86,87,Jaden Rye,153363,1003,+3
87,87,Gavin Babcock,80331,1013,+3
88,89,Noah Meintsma,56555,1004,+4
89,89,Ian Burchett,60435,1005,+4
90,91,Luke Samson,59419,1020,+5
91,91,Kevin Kiefer III,97115,1016,+5
92,91,Nathan Queen,68286,1021,+5
93,91,Tony Ferro,33551,1017,+5
94,95,Justin Rosak,98161,1000,+7
95,95,Brandon Brown,87673,1002,+7
96,95,Trey Martin,102965,989,+7
97,98,Harris Reid,72429,984,+8
98,98,Calvin Pettigrew,31818,996,+8
99,98,Parker Welck,39491,1013,+8
100,98,AJ Carey,61770,1014,+8
101,98,Danny Beauchamp,76153,1006,+8
102,103,Jake Brown,140954,1004,+9
103,104,Brent Hannu,128231,1005,+12
104,104,Charlie Moore,78268,1006,+12
105,104,Andrew LaVoie,127483,985,+12
106,107,Blake Waldron,100981,1002,+13
107,108,Weston Isaacs,40883,1003,+14
108,109,Jon Lynn,99462,987,+28
109,109,Colby Childress,101578,1005,+28
110,111,Benjamin Callaway,39015,1022,DNF
111,111,Emerson Keith,47472,1029,DNF
112,113,Chris Harris,37146,1007,DNF
113,113,Paul Ulibarri,27171,1017,DNF
114,115,Alan Wagner,28550,1007,DNF
115,115,Niklas Anttila,91249,1029,DNF
